Sum of civilian_deaths,country,Year,Quarter,Month,Day,Sum of fatalities,Sum of latitude,Sum of longitude,region,Sum of year
0,Afghanistan,1989,Qtr 1,January,1,29,101.5102,206.223,Asia,5967
0,Afghanistan,1989,Qtr 1,January,7,6,34.33333,70.41667,Asia,1989
0,Afghanistan,1989,Qtr 1,January,15,4,36.75,68.75,Asia,1989
0,Afghanistan,1989,Qtr 1,January,19,3,101.21237400000001,203.640594,Asia,5967
0,Afghanistan,1989,Qtr 1,January,20,0,68.7603,141.4154,Asia,3978
0,Afghanistan,1989,Qtr 1,January,23,600,35.315833,69.038889,Asia,1989
0,Afghanistan,1989,Qtr 1,January,30,2,34.531094,69.162796,Asia,1989
0,Afghanistan,1989,Qtr 1,January,31,70,35.31603,69.03871,Asia,1989
0,Afghanistan,1989,Qtr 1,February,3,10,31.611795,65.705795,Asia,1989
0,Afghanistan,1989,Qtr 1,February,4,20,34.5,62,Asia,1989
0,Afghanistan,1989,Qtr 1,February,5,5,31.611795,65.705795,Asia,1989
0,Afghanistan,1989,Qtr 1,February,8,7,34.531094,69.162796,Asia,1989
0,Afghanistan,1989,Qtr 1,February,10,1,35.315833,69.038889,Asia,1989
5,Afghanistan,1989,Qtr 1,February,14,5,34.531094,69.162796,Asia,1989
13,Afghanistan,1989,Qtr 1,February,16,13,68.08109300000001,137.579498,Asia,3978
0,Afghanistan,1989,Qtr 1,February,19,9,69.03020599999999,139.049018,Asia,3978
0,Afghanistan,1989,Qtr 1,February,21,79,102.531094,203.079466,Asia,5967
5,Afghanistan,1989,Qtr 1,February,25,11,103.623707,209.825936,Asia,5967
6,Afghanistan,1989,Qtr 1,March,1,6,34.393849,70.274439,Asia,1989
0,Afghanistan,1989,Qtr 1,March,3,24,34.499112,69.886222,Asia,1989
2,Afghanistan,1989,Qtr 1,March,7,202,137.687205,281.867633,Asia,7956
4,Afghanistan,1989,Qtr 1,March,8,5,69.095538,138.380018,Asia,3978
0,Afghanistan,1989,Qtr 1,March,10,429,34.428844,70.45575,Asia,1989
0,Afghanistan,1989,Qtr 1,March,11,300,34.400673,70.500383,Asia,1989
0,Afghanistan,1989,Qtr 1,March,12,101,34.428844,70.45575,Asia,1989
0,Afghanistan,1989,Qtr 1,March,15,357,69.54721,139.691445,Asia,3978
0,Afghanistan,1989,Qtr 1,March,18,3,31.611795,65.705795,Asia,1989
7,Afghanistan,1989,Qtr 1,March,19,222,34.428844,70.45575,Asia,1989
0,Afghanistan,1989,Qtr 1,March,24,3,34.589615,69.760047,Asia,1989
12,Afghanistan,1989,Qtr 1,March,25,15,68.796344,141.02475,Asia,3978
65,Afghanistan,1989,Qtr 1,March,30,73,34.428844,70.45575,Asia,1989
0,Afghanistan,1989,Qtr 1,March,31,4,34.428844,70.45575,Asia,1989
10,Afghanistan,1989,Qtr 2,April,4,10,69.062188,138.325592,Asia,3978
6,Afghanistan,1989,Qtr 2,April,5,6,34.531094,69.162796,Asia,1989
0,Afghanistan,1989,Qtr 2,April,6,2,34.531094,69.162796,Asia,1989
12,Afghanistan,1989,Qtr 2,April,7,12,31.611795,65.705795,Asia,1989
12,Afghanistan,1989,Qtr 2,April,9,12,67.763935,140.374161,Asia,3978
11,Afghanistan,1989,Qtr 2,April,10,14,34.428844,70.45575,Asia,1989
5,Afghanistan,1989,Qtr 2,April,11,8,34.428844,70.45575,Asia,1989
0,Afghanistan,1989,Qtr 2,April,13,6,33.335091,69.918411,Asia,1989
2,Afghanistan,1989,Qtr 2,April,15,2,34.531094,69.162796,Asia,1989
3,Afghanistan,1989,Qtr 2,April,17,30,64.66666699999999,135.08333,Asia,3978
1,Afghanistan,1989,Qtr 2,April,19,1,34.531094,69.162796,Asia,1989
0,Afghanistan,1989,Qtr 2,April,20,4,34.531094,69.162796,Asia,1989
2,Afghanistan,1989,Qtr 2,April,21,3,34.531094,69.162796,Asia,1989
0,Afghanistan,1989,Qtr 2,April,22,4,34.428844,70.45575,Asia,1989
2,Afghanistan,1989,Qtr 2,April,23,277,168.256815,337.442753,Asia,9945
0,Afghanistan,1989,Qtr 2,April,24,54,34.428844,70.45575,Asia,1989
20,Afghanistan,1989,Qtr 2,April,27,45,68.959938,139.618546,Asia,3978
0,Afghanistan,1989,Qtr 2,April,28,4,34.428844,70.45575,Asia,1989
11,Afghanistan,1989,Qtr 2,May,1,11,67.97819899999999,138.817802,Asia,3978
0,Afghanistan,1989,Qtr 2,May,4,0,99.09551099999999,205.53908,Asia,5967
5,Afghanistan,1989,Qtr 2,May,8,43,68.8193,140.8317,Asia,3978
0,Afghanistan,1989,Qtr 2,May,9,15,34.589615,69.760047,Asia,1989
0,Afghanistan,1989,Qtr 2,May,15,35,67.763935,140.374161,Asia,3978
